_id,,x_mean,x_std,x_max,x_min,x_energy,x_iqr,y_mean,y_std,y_max,y_min,y_energy,y_iqr,z_mean,z_std,z_max,z_min,z_energy,z_iqr,sma,xy_corr,xz_corr,yz_corr
1,549,12994.8,274.08735612555785,13580.0,12352.0,168939199.68,301.0,-63.04,636.9082188132936,2188.0,-956.0,405569.6,452.0,-10109.92,317.7183709393271,-9308.0,-10960.0,102310417.92,340.0,16481.46510142559,-0.04460411347246323,0.8021394537647571,0.13400072369953814
1,574,12849.32,300.43795910761924,13472.0,12028.0,165194384.8,406.0,-154.52,453.36529477349006,1528.0,-956.0,227361.12,415.0,-10320.0,348.634971616963,-9680.0,-11232.0,106622730.88,504.0,16493.51069855903,-0.42666039002830236,0.9196026090804643,-0.4974232652105869
1,599,12836.32,349.72389917846704,13716.0,12028.0,164892194.88,561.0,73.32,679.120299662839,1920.0,-892.0,461968.16,671.0,-10339.92,384.8278030233977,-9636.0,-11232.0,107060557.12,581.0,16504.391890680094,-0.22580956614562264,0.8620492685122118,-0.3177371405148099
1,624,13010.8,520.8051265089462,14040.0,12028.0,169549442.24,928.0,26.08,732.1258334190912,1920.0,-1028.0,531328.32,718.0,-10095.32,665.1835757856373,-8676.0,-11232.0,102353530.4,1023.0,16504.91238379929,-0.4383796074907477,0.9317840193987169,-0.501015010119992
1,649,13266.72,579.021502714772,14076.0,12028.0,176337772.8,963.0,68.12,714.8282167024064,1920.0,-1028.0,510509.92,604.0,-9746.88,749.6386911524426,-8676.0,-11232.0,95558008.32,1397.0,16504.103967372324,-0.47505287048541034,0.949271005125397,-0.541654565535488
1,674,13546.28,418.80185233013833,14336.0,12204.0,183675342.88,402.0,30.04,649.2982368711961,1920.0,-1028.0,418274.72,563.0,-9382.92,522.0701156517089,-8676.0,-10740.0,88309019.36,634.0,16503.945483463278,-0.4850102375567758,0.8955259328748936,-0.5979052827431998
1,699,13708.52,172.8390668520954,14336.0,13156.0,187953095.2,189.0,-99.08,373.3536163321395,524.0,-1028.0,147815.84,407.0,-9187.28,229.65191402683058,-8676.0,-9740.0,84458326.4,331.0,16509.025343926896,0.062357278091198766,0.686995577621297,-0.1209352454366085
1,724,13732.76,187.33447211990583,14336.0,13156.0,188623440.48,170.0,88.88,212.15095064267194,724.0,-416.0,52457.6,260.0,-9170.6,242.35302741871214,-8636.0,-9740.0,84158052.0,329.0,16517.34376137884,-0.030491442233250548,0.7350240886743721,-0.05398277785737858
1,749,13592.68,316.8190663582053,14336.0,12492.0,184860320.16,303.0,90.36,534.026850609331,944.0,-2196.0,290497.76,319.0,-9365.56,399.45453515586416,-8636.0,-10628.0,87871682.4,349.0,16522.365495035345,0.3956469893274245,0.7155289878791193,0.2564023029773644
1,774,13503.4,358.6805787546406,14088.0,12408.0,182469176.8,365.0,87.28,604.1797525019659,1300.0,-2196.0,369000.64,482.0,-9480.92,422.2555519008991,-8636.0,-10628.0,90064360.8,446.0,16518.09273673106,0.37087067438300053,0.6236172486523552,0.2792211073285154
1,799,13450.76,358.920804410097,14088.0,12408.0,181050480.48,432.0,-149.92,754.495211275981,1300.0,-2196.0,586046.4,1107.0,-9532.04,418.3548327205367,-8636.0,-10628.0,91033057.12,521.0,16510.924546863218,0.32540949192146773,0.5945264832764882,0.2285606128024742
