_id,level_1,x_mean,y_mean,z_mean,x_std,y_std,z_std,x_max,y_max,z_max,x_min,y_min,z_min,x_energy,y_energy,z_energy,x_iqr,y_iqr,z_iqr,xy_corr,xz_corr,yz_corr,sma,x_mean_pos1,x_std_pos1,x_max_pos1,x_min_pos1,y_mean_pos1,y_std_pos1,y_max_pos1,y_min_pos1,z_mean_pos1,z_std_pos1,z_max_pos1,z_min_pos1,sma_pos1,x_energy_pos1,y_energy_pos1,z_energy_pos1,x_iqr_pos1,y_iqr_pos1,z_iqr_pos1,xy_corr_pos1,xz_corr_pos1,yz_corr_pos1,height,mass,position,is_valid,age,sex
2,1798,11004.84,670.46,-12293.78,330.26912420024973,627.1232960112388,292.4021060115675,11532.0,1380.0,-11808.0,9384.0,-1032.0,-13644.0,121215581.12,842800.24,151222525.68,311.0,1144.0,321.0,0.558795646860703,0.9127396583211514,0.5873806114732028,16530.95218235169,15146.131868131868,160.38577750829157,16424.0,12984.0,-1865.6117216117216,122.33108359951603,-1588.0,-3500.0,-6243.5677655677655,290.7456767793016,-5008.0,-7132.0,16491.939760522124,229431010.6080586,3495458.285714286,39066594.08058608,196.0,132.0,485.0,-0.2033833995211394,0.7509250972497991,-0.4524488776596991,185,75,1,0,18,1
2,1848,10991.82,439.64,-12314.12,344.5993145669329,585.7638008617469,296.5127747669568,11596.0,1380.0,-11776.0,9384.0,-1032.0,-13644.0,120938855.6,536402.56,151725471.2,352.0,1107.0,334.0,0.4230254441161545,0.8775581002758608,0.4821145047489645,16528.41210008562,15146.131868131868,160.38577750829157,16424.0,12984.0,-1865.6117216117216,122.33108359951603,-1588.0,-3500.0,-6243.5677655677655,290.7456767793016,-5008.0,-7132.0,16491.939760522124,229431010.6080586,3495458.285714286,39066594.08058608,196.0,132.0,485.0,-0.2033833995211394,0.7509250972497991,-0.4524488776596991,185,75,1,0,18,1
2,1898,10922.48,472.12,-12375.54,369.0789747465982,675.1950130147588,328.6046080017747,11856.0,2336.0,-11364.0,9384.0,-1032.0,-13644.0,119436788.64,678785.6,153261971.28,449.0,1060.0,378.0,0.091789391689989,0.8055878287267985,0.1143055581030513,16533.39833249356,15146.131868131868,160.38577750829157,16424.0,12984.0,-1865.6117216117216,122.33108359951603,-1588.0,-3500.0,-6243.5677655677655,290.7456767793016,-5008.0,-7132.0,16491.939760522124,229431010.6080586,3495458.285714286,39066594.08058608,196.0,132.0,485.0,-0.2033833995211394,0.7509250972497991,-0.4524488776596991,185,75,1,0,18,1
2,1948,10750.4,637.02,-12513.9,448.6982059246503,701.7110513594608,382.8532747672403,11856.0,2336.0,-11364.0,9708.0,-960.0,-13392.0,115772430.24,898192.88,156744269.84,667.0,1224.0,538.0,-0.4467077940152842,0.8704921691240999,-0.3950800078112753,16534.582560043727,15146.131868131868,160.38577750829157,16424.0,12984.0,-1865.6117216117216,122.33108359951603,-1588.0,-3500.0,-6243.5677655677655,290.7456767793016,-5008.0,-7132.0,16491.939760522124,229431010.6080586,3495458.285714286,39066594.08058608,196.0,132.0,485.0,-0.2033833995211394,0.7509250972497991,-0.4524488776596991,185,75,1,0,18,1
2,1998,10495.72,908.08,-12715.16,571.8558573626748,529.3794042083618,476.6264096753346,11856.0,2336.0,-11364.0,9328.0,-120.0,-13572.0,110487157.44,1104851.84,161902466.56,1009.0,910.0,801.0,-0.3302406850947104,0.920793799940432,-0.3086193661905023,16537.015589790666,15146.131868131868,160.38577750829157,16424.0,12984.0,-1865.6117216117216,122.33108359951603,-1588.0,-3500.0,-6243.5677655677655,290.7456767793016,-5008.0,-7132.0,16491.939760522124,229431010.6080586,3495458.285714286,39066594.08058608,196.0,132.0,485.0,-0.2033833995211394,0.7509250972497991,-0.4524488776596991,185,75,1,0,18,1
2,2048,10213.2,1006.3,-12938.02,474.0870806086156,430.6700709359775,414.9708418672329,11856.0,2336.0,-11364.0,9328.0,-140.0,-13572.0,104534212.8,1198116.4,167564562.32,542.0,569.0,491.0,0.3900728027606181,0.9098528832832564,0.3535241109845002,16531.136420985535,15146.131868131868,160.38577750829157,16424.0,12984.0,-1865.6117216117216,122.33108359951603,-1588.0,-3500.0,-6243.5677655677655,290.7456767793016,-5008.0,-7132.0,16491.939760522124,229431010.6080586,3495458.285714286,39066594.08058608,196.0,132.0,485.0,-0.2033833995211394,0.7509250972497991,-0.4524488776596991,185,75,1,0,18,1
2,2098,9976.4,878.3,-13138.96,255.86121237889893,409.84142055190057,249.07259664603816,10520.0,2220.0,-12436.0,8748.0,-1144.0,-14364.0,99594021.92,939380.88,172694307.04,344.0,437.0,286.0,0.6412163110284809,0.8317959175756213,0.5976325287396443,16529.224873471514,15146.131868131868,160.38577750829157,16424.0,12984.0,-1865.6117216117216,122.33108359951603,-1588.0,-3500.0,-6243.5677655677655,290.7456767793016,-5008.0,-7132.0,16491.939760522124,229431010.6080586,3495458.285714286,39066594.08058608,196.0,132.0,485.0,-0.2033833995211394,0.7509250972497991,-0.4524488776596991,185,75,1,0,18,1
2,2148,9927.72,1002.7,-13151.04,340.82359308005664,651.2916320666187,278.4681640690727,10664.0,3012.0,-12424.0,8748.0,-1344.0,-14364.0,98675785.12,1429588.08,173027397.6,402.0,525.0,305.0,0.2986853045316436,0.7647982353870387,0.4731896907421918,16526.13575077806,15146.131868131868,160.38577750829157,16424.0,12984.0,-1865.6117216117216,122.33108359951603,-1588.0,-3500.0,-6243.5677655677655,290.7456767793016,-5008.0,-7132.0,16491.939760522124,229431010.6080586,3495458.285714286,39066594.08058608,196.0,132.0,485.0,-0.2033833995211394,0.7509250972497991,-0.4524488776596991,185,75,1,0,18,1
2,2198,9960.78,1107.62,-13118.0,335.18035682300945,647.3478937943646,270.41508833643144,10664.0,3012.0,-12424.0,8748.0,-1344.0,-14364.0,99329484.08,1645881.36,172155048.32,351.0,643.0,270.0,0.2720742900825654,0.7648060772529299,0.4523295447402247,16526.092141870246,15146.131868131868,160.38577750829157,16424.0,12984.0,-1865.6117216117216,122.33108359951603,-1588.0,-3500.0,-6243.5677655677655,290.7456767793016,-5008.0,-7132.0,16491.939760522124,229431010.6080586,3495458.285714286,39066594.08058608,196.0,132.0,485.0,-0.2033833995211394,0.7509250972497991,-0.4524488776596991,185,75,1,0,18,1
2,2248,9987.32,1245.68,-13094.42,330.32398883520415,566.8357589284572,260.6293605870221,10664.0,3012.0,-12424.0,8748.0,-1344.0,-14364.0,99855674.72,1873021.44,171531762.8,340.0,423.0,240.0,0.2426267683760074,0.7608188391035345,0.4347054002463689,16530.04872763041,15146.131868131868,160.38577750829157,16424.0,12984.0,-1865.6117216117216,122.33108359951603,-1588.0,-3500.0,-6243.5677655677655,290.7456767793016,-5008.0,-7132.0,16491.939760522124,229431010.6080586,3495458.285714286,39066594.08058608,196.0,132.0,485.0,-0.2033833995211394,0.7509250972497991,-0.4524488776596991,185,75,1,0,18,1
