data_id,_id,x,y,z
161,1,13372.0,-360.0,-9772.0
162,1,13316.0,-304.0,-9796.0
163,1,13408.0,-140.0,-9868.0
164,1,13524.0,-348.0,-9724.0
165,1,13420.0,-396.0,-9604.0
166,1,13440.0,-476.0,-9692.0
167,1,13332.0,-424.0,-9776.0
168,1,13444.0,-452.0,-9740.0
169,1,13416.0,-360.0,-9836.0
170,1,13412.0,-320.0,-9760.0
171,1,13552.0,-252.0,-9708.0
172,1,13516.0,-384.0,-9688.0
173,1,13492.0,-380.0,-9712.0
174,1,13476.0,-356.0,-9628.0
175,1,13408.0,-420.0,-9540.0
176,1,13436.0,-380.0,-9640.0
177,1,13492.0,-284.0,-9644.0
178,1,13412.0,-312.0,-9676.0
179,1,13388.0,-320.0,-9744.0
180,1,13400.0,-256.0,-9832.0
181,1,13532.0,-248.0,-9704.0
182,1,13492.0,-268.0,-9788.0
183,1,13376.0,-464.0,-9684.0
184,1,13416.0,-352.0,-9656.0
185,1,13440.0,-444.0,-9572.0
186,1,13404.0,-416.0,-9640.0
187,1,13344.0,-416.0,-9624.0
188,1,13484.0,-468.0,-9660.0
189,1,13348.0,-376.0,-9680.0
190,1,13504.0,-432.0,-9768.0
191,1,13364.0,-288.0,-9508.0
192,1,13472.0,-392.0,-9548.0
193,1,13764.0,-528.0,-9504.0
194,1,13668.0,-520.0,-9544.0
195,1,13428.0,-456.0,-9540.0
196,1,13396.0,-432.0,-9712.0
197,1,13480.0,-344.0,-9720.0
198,1,13528.0,-328.0,-9632.0
199,1,13656.0,-344.0,-9700.0
200,1,13424.0,-356.0,-9580.0
201,1,13424.0,-380.0,-9632.0
202,1,13428.0,-524.0,-9712.0
203,1,13340.0,-524.0,-9684.0
204,1,13596.0,-432.0,-9500.0
205,1,13536.0,-372.0,-9760.0
206,1,13448.0,-488.0,-9680.0
207,1,13496.0,-480.0,-9660.0
208,1,13456.0,-444.0,-9608.0
209,1,13504.0,-460.0,-9624.0
210,1,13444.0,-380.0,-9612.0
211,1,13600.0,-268.0,-9648.0
212,1,13468.0,-320.0,-9696.0
213,1,13392.0,-376.0,-9800.0
214,1,13416.0,-408.0,-9636.0
215,1,13544.0,-400.0,-9692.0
216,1,13456.0,-420.0,-9564.0
217,1,13516.0,-456.0,-9724.0
218,1,13452.0,-416.0,-9620.0
219,1,13268.0,-276.0,-9632.0
220,1,13536.0,-352.0,-9680.0
221,1,13576.0,-404.0,-9636.0
222,1,13476.0,-396.0,-9624.0
223,1,13428.0,-428.0,-9548.0
224,1,13564.0,-592.0,-9744.0
225,1,13464.0,-420.0,-9672.0
226,1,13480.0,-544.0,-9500.0
227,1,13544.0,-720.0,-9508.0
228,1,13660.0,-704.0,-9636.0
229,1,13492.0,-464.0,-9608.0
230,1,13424.0,-416.0,-9668.0
231,1,13496.0,-432.0,-9668.0
232,1,13368.0,-584.0,-9604.0
233,1,13524.0,-376.0,-9580.0
234,1,13624.0,-268.0,-9624.0
235,1,13552.0,-360.0,-9476.0
236,1,13648.0,-404.0,-9608.0
237,1,13496.0,-452.0,-9704.0
238,1,13448.0,-532.0,-9656.0
239,1,13292.0,-472.0,-9516.0
240,1,13460.0,-620.0,-9724.0
241,1,13484.0,-508.0,-9740.0
242,1,13560.0,-504.0,-9648.0
243,1,13380.0,-552.0,-9696.0
244,1,13452.0,-632.0,-9608.0
245,1,13404.0,-676.0,-9680.0
246,1,13408.0,-704.0,-9768.0
247,1,13380.0,-648.0,-9808.0
248,1,13432.0,-708.0,-9688.0
249,1,13484.0,-636.0,-9736.0
