_id,,x_mean,y_mean,z_mean,x_std,y_std,z_std,x_max,y_max,z_max,x_min,y_min,z_min,x_energy,y_energy,z_energy,x_iqr,y_iqr,z_iqr,xy_corr,xz_corr,yz_corr,sma
1,1479,12868.96,-236.96,-10134.773333333333,1369.4454492238822,1886.6539653753855,1198.8336506603223,17584.0,3552.0,-8244.0,9788.0,-5076.0,-12736.0,167485512.32,3615613.2266666666,104150832.64,1757.0,2704.0,2046.0,0.566120154166117,0.47737657854402604,0.40970943470427373,16564.890049438123
1,1517,12110.56,-625.92,-10924.56,1619.6083990891127,1992.7343074947717,1485.5949761178736,17584.0,3552.0,-8244.0,8748.0,-5076.0,-13528.0,149288794.88,4362765.866666666,121553003.62666667,2599.0,3147.0,2707.0,0.6698296498105747,0.6375426201450072,0.557174775203981,16563.550550226177
1,1555,10407.786666666667,-1348.96,-12163.333333333334,3094.153688461875,2015.2572536527439,1976.2906353964127,17584.0,3552.0,-8244.0,628.0,-5076.0,-18556.0,117895810.34666666,5880954.88,151852402.45333335,2758.0,1474.0,2068.0,0.4883437669519467,0.8509982927286599,0.4945285745224001,16575.672820198815
2,1742,11070.613333333333,1010.7733333333333,-12232.72,337.46379137455455,359.0841525634656,295.4579072107114,11532.0,1380.0,-11808.0,9384.0,-1032.0,-13644.0,122672361.38666667,1150604.16,149726733.97333333,207.0,147.0,230.0,0.6756832117235949,0.926326214066424,0.6807539078003034,16539.120413110602
2,1780,10975.413333333334,677.7066666666667,-12315.733333333334,366.5933657640605,603.4744462600623,323.8405094418479,11532.0,1380.0,-11808.0,9384.0,-1032.0,-13644.0,120594088.53333333,823467.7333333333,151782160.21333334,368.0,1029.0,361.0,0.57042478943986,0.9159672149611378,0.6190606270799387,16528.45460470111
2,1818,10953.813333333334,375.8666666666667,-12341.6,362.18760123572554,605.8050584873725,316.3248962696423,11532.0,1380.0,-11808.0,9384.0,-1032.0,-13644.0,120117206.4,508275.52,152415152.0,357.0,1219.0,327.0,0.38470975382503475,0.9101171224274316,0.42997530543593676,16523.628985725543
2,1856,10920.266666666666,169.92,-12386.266666666666,370.4477051112912,445.17675171404295,310.34171846888756,11596.0,1380.0,-11776.0,9384.0,-1032.0,-13644.0,119389455.57333334,227055.14666666667,153515913.92,358.0,549.0,339.0,0.2757505930889745,0.8642533954022928,0.3240896843949633,16526.248811631114
2,1894,10958.133333333333,388.50666666666666,-12351.84,293.5519185576698,680.0831787035728,277.9962129238454,11856.0,2336.0,-11364.0,10156.0,-960.0,-13384.0,120166858.88,613450.56,152645233.28,342.0,822.0,335.0,-0.019135341334428537,0.6826932546781397,-0.02285420081317472,16534.75260038341
2,1932,10785.333333333334,750.1866666666666,-12483.653333333334,467.37021252488427,671.6611187860208,401.4496230191557,11856.0,2336.0,-11364.0,9708.0,-420.0,-13392.0,116541850.02666667,1013908.6933333334,156002762.34666666,654.0,1164.0,501.0,-0.45690938559188715,0.864855230621484,-0.4211484336811619,16538.827645826783
2,1970,10518.88,1050.6666666666667,-12695.626666666667,514.0349394091159,490.1035899571529,435.5009612950227,11856.0,2336.0,-11364.0,9692.0,-116.0,-13392.0,110911068.37333333,1344101.9733333334,161368597.54666665,791.0,571.0,699.0,-0.33387426432357453,0.880691643157002,-0.3046684975873898,16540.76539478109
