_id,x_mean,x_std,x_max,x_min,y_mean,y_std,y_max,y_min,z_mean,z_std,z_max,z_min,sma,x_energy,y_energy,z_energy,x_iqr,y_iqr,z_iqr,xy_corr,xz_corr,yz_corr,x_mean_pos1,x_std_pos1,x_max_pos1,x_min_pos1,y_mean_pos1,y_std_pos1,y_max_pos1,y_min_pos1,z_mean_pos1,z_std_pos1,z_max_pos1,z_min_pos1,sma_pos1,x_energy_pos1,y_energy_pos1,z_energy_pos1,x_iqr_pos1,y_iqr_pos1,z_iqr_pos1,xy_corr_pos1,xz_corr_pos1,yz_corr_pos1
19,11686.384105960266,388.5298729459338,12736.0,10696.0,833.8126773888363,164.70413933284743,1548.0,408.0,-11611.069063386944,383.6446972766135,-10468.0,-12612.0,16504.31681574074,136722386.1192053,722345.3699148534,134963968.8022706,732.0,212.0,712.0,0.0555146928237121,0.8907013977922451,0.0680852103616983,14809.31803696622,93.58029640215776,15536.0,14068.0,1523.0006373486297,103.46941096138278,1952.0,1140.0,-7148.038240917782,173.72793815585084,-6296.0,-7608.0,16515.95331665094,219324652.4104525,2330230.0369662205,51124612.854047164,136.0,136.0,244.0,-0.3016266199688736,0.7769092651791982,-0.1903079168773209
20,14307.614849187936,1011.0344699058973,17060.0,6936.0,1550.8631090487238,714.8589375780051,5028.0,-3292.0,-7949.062645011601,1237.340343232573,-6084.0,-17600.0,16524.88605167946,205728847.53596288,2915606.8491879352,64716831.944315545,148.0,320.0,239.0,-0.1663631194646188,0.8293275238853655,-0.373077755215255,14809.31803696622,93.58029640215776,15536.0,14068.0,1523.0006373486297,103.46941096138278,1952.0,1140.0,-7148.038240917782,173.72793815585084,-6296.0,-7608.0,16515.95331665094,219324652.4104525,2330230.0369662205,51124612.854047164,136.0,136.0,244.0,-0.3016266199688736,0.7769092651791982,-0.1903079168773209
21,13891.260825780464,2469.622893625972,30348.0,9740.0,-231.43001007049347,1909.3701308573648,5540.0,-5772.0,-8757.39577039275,1630.688783235635,-5356.0,-16912.0,16587.664052998174,199063093.550856,3697418.449144008,79349787.64149043,2606.0,3155.0,1823.0,-0.0611392009844571,-0.4789533220654924,-0.0220139089901262,14809.31803696622,93.58029640215776,15536.0,14068.0,1523.0006373486297,103.46941096138278,1952.0,1140.0,-7148.038240917782,173.72793815585084,-6296.0,-7608.0,16515.95331665094,219324652.4104525,2330230.0369662205,51124612.854047164,136.0,136.0,244.0,-0.3016266199688736,0.7769092651791982,-0.1903079168773209
23,16079.708520179372,148.94093849458804,17004.0,15224.0,1951.0313901345287,277.5722130711601,3028.0,1028.0,-3252.067264573991,469.8407256500632,-2012.0,-4460.0,16530.249256577907,258579184.6278027,3883483.443946188,10796444.322869956,184.0,305.0,513.0,-0.3636068075067585,0.6885868526617397,-0.236226733708339,14809.31803696622,93.58029640215776,15536.0,14068.0,1523.0006373486297,103.46941096138278,1952.0,1140.0,-7148.038240917782,173.72793815585084,-6296.0,-7608.0,16515.95331665094,219324652.4104525,2330230.0369662205,51124612.854047164,136.0,136.0,244.0,-0.3016266199688736,0.7769092651791982,-0.1903079168773209
24,14870.49416755037,2557.0443327393823,28792.0,11012.0,1773.1283138918343,1774.7930659736471,7544.0,-2740.0,-6862.305408271474,1249.2585862941355,-1012.0,-12280.0,16608.296765508374,227666605.65853655,6292204.30116649,48651055.04135737,2929.0,2946.0,1710.0,0.0192425323736942,-0.4251783962087692,-0.0787583620004674,14809.31803696622,93.58029640215776,15536.0,14068.0,1523.0006373486297,103.46941096138278,1952.0,1140.0,-7148.038240917782,173.72793815585084,-6296.0,-7608.0,16515.95331665094,219324652.4104525,2330230.0369662205,51124612.854047164,136.0,136.0,244.0,-0.3016266199688736,0.7769092651791982,-0.1903079168773209
25,10166.128676470587,158.40097358202553,10908.0,9232.0,1768.1470588235295,229.16474967507835,2708.0,824.0,-12918.551470588236,140.87686075661784,-12400.0,-13864.0,16536.467366702884,103375240.0735294,3178812.2352941176,166908800.1470588,169.0,284.0,160.0,0.153076828669132,0.6472285882314772,0.1865615528966707,14420.20669406929,149.3679422243225,15604.0,12876.0,233.74985320023487,233.20282805196743,1044.0,-552.0,-8032.561362301821,227.9134281929644,-5860.0,-8692.0,16511.863141496513,207964658.78097475,108990.61890780977,64573956.06811509,172.0,268.0,268.0,0.0264469359596655,0.8054821098403534,0.0307671670303617
26,12589.840112201964,364.7674065988375,13592.0,11132.0,374.6311360448808,314.6745955869918,1984.0,-944.0,-10658.49649368864,404.3557579539299,-9940.0,-12008.0,16511.632498801533,158636942.6984572,239229.7110799439,113766821.76718092,348.0,252.0,388.0,0.1019520435218556,0.9382983860610214,0.1367227402616921,14420.20669406929,149.3679422243225,15604.0,12876.0,233.74985320023487,233.20282805196743,1044.0,-552.0,-8032.561362301821,227.9134281929644,-5860.0,-8692.0,16511.863141496513,207964658.78097475,108990.61890780977,64573956.06811509,172.0,268.0,268.0,0.0264469359596655,0.8054821098403534,0.0307671670303617
27,12980.31686859273,2282.3024117358077,25140.0,8320.0,545.5097856477166,1262.3480523474905,5108.0,-2544.0,-10114.920782851816,1517.4642491893735,-6748.0,-15844.0,16551.174490805963,173695103.04566637,1890360.976700839,104613247.1724138,2048.0,2120.0,2315.0,-0.1281359703946937,-0.5798831825523186,-0.0392738869568547,14420.20669406929,149.3679422243225,15604.0,12876.0,233.74985320023487,233.20282805196743,1044.0,-552.0,-8032.561362301821,227.9134281929644,-5860.0,-8692.0,16511.863141496513,207964658.78097475,108990.61890780977,64573956.06811509,172.0,268.0,268.0,0.0264469359596655,0.8054821098403534,0.0307671670303617
29,15616.840496657116,112.17180026761768,15992.0,15288.0,139.93123209169053,154.97983292200965,620.0,-328.0,-5356.416427889208,286.88198257945754,-4384.0,-5876.0,16514.00556584521,243898277.5931232,43576.55778414517,28773419.614135627,132.0,216.0,296.0,-0.3698584374878634,0.8624665244854236,-0.4304248173360879,14420.20669406929,149.3679422243225,15604.0,12876.0,233.74985320023487,233.20282805196743,1044.0,-552.0,-8032.561362301821,227.9134281929644,-5860.0,-8692.0,16511.863141496513,207964658.78097475,108990.61890780977,64573956.06811509,172.0,268.0,268.0,0.0264469359596655,0.8054821098403534,0.0307671670303617
30,14961.378217821784,3077.4820119617734,27492.0,9968.0,-242.780198019802,1431.9533534105417,4964.0,-4300.0,-7029.7089108910895,1576.7486682954805,-3732.0,-12992.0,16646.27822159201,233309045.14851484,2108417.536633664,51901712.974257424,3017.0,2245.0,2315.0,-0.0335583113900286,-0.4268688933927044,0.0923009193881257,14420.20669406929,149.3679422243225,15604.0,12876.0,233.74985320023487,233.20282805196743,1044.0,-552.0,-8032.561362301821,227.9134281929644,-5860.0,-8692.0,16511.863141496513,207964658.78097475,108990.61890780977,64573956.06811509,172.0,268.0,268.0,0.0264469359596655,0.8054821098403534,0.0307671670303617
