_id,,x_mean,y_mean,z_mean,x_std,y_std,z_std,x_max,y_max,z_max,x_min,y_min,z_min,x_energy,y_energy,z_energy,x_iqr,y_iqr,z_iqr,xy_corr,xz_corr,yz_corr,sma
1,99,14093.32,565.96,-8564.2,290.64070189840925,630.347839212605,313.9097322479824,15044.0,1840.0,-7808.0,13252.0,-1360.0,-9220.0,198706140.64,717649.12,73444060.96,345.0,653.0,445.0,-0.16039250650389394,0.6938949112115472,-0.30466640086004376,16517.733674671807
1,124,13962.08,676.16,-8782.2,322.75289867017455,600.7408546120365,381.5712253302128,14636.0,1840.0,-8064.0,13136.0,-996.0,-9648.0,195043847.36,818081.92,77272633.44,433.0,677.0,569.0,0.20336878587898782,0.8161379523506972,0.16481606333493246,16526.018737790317
1,149,13766.2,157.68,-9051.92,355.81405256116574,1037.957098150015,392.46176068503786,14520.0,1644.0,-8248.0,12836.0,-2016.0,-9904.0,189634866.08,1102217.92,82091281.92,468.0,1575.0,630.0,0.6249058757998956,0.8414895080490028,0.6231657965545317,16516.76667335422
1,174,13474.52,216.4,-9476.16,446.1937355006231,1286.613352954181,559.0400114481968,14268.0,3004.0,-8532.0,12544.0,-2016.0,-10612.0,181761778.08,1702202.88,90110134.08,639.0,2124.0,840.0,0.10529779203508345,0.8639786431092243,0.016581828057227126,16539.117805752077
1,199,13171.72,-11.08,-9901.0,523.2242364417,1203.6142711018344,641.3329556478444,14268.0,3004.0,-8848.0,12000.0,-2016.0,-11392.0,173767971.36,1448810.08,98441108.96,814.0,1748.0,1082.0,-0.059149728557322215,0.8945538017965495,-0.1752150461156135,16541.61121541556
1,224,13186.96,44.44,-9859.76,524.3377903603746,1152.3942235190182,687.804581549149,13940.0,3004.0,-8812.0,12000.0,-2016.0,-11392.0,174170844.16,1329987.36,97687942.4,952.0,1412.0,1153.0,-0.03947416719887604,0.9292414928802538,-0.10706311803456033,16527.738660490766
1,249,13329.52,552.16,-9686.12,635.7646809944697,815.1424749085278,847.2276586608822,14708.0,3004.0,-8068.0,12000.0,-1780.0,-11392.0,178080300.16,969337.92,94538715.36,1100.0,503.0,1470.0,0.19686753998529194,0.9584112822141273,0.18872165651397657,16539.87039670011
1,274,13512.84,471.4,-9402.96,593.4677197624145,410.05965419680103,783.0898022576976,14708.0,1172.0,-8068.0,12000.0,-748.0,-11392.0,182949048.8,390366.88,89028886.4,589.0,412.0,672.0,0.730058561668509,0.9691789849134828,0.7172107057471255,16503.1036336918
1,299,13735.12,641.6,-9106.76,270.9595276051389,306.43759560471693,329.84878717375943,14708.0,1172.0,-8068.0,13168.0,-356.0,-9660.0,188726940.48,505554.56,83041877.92,353.0,290.0,503.0,0.2780720232939289,0.881769835459484,0.23768020280908642,16500.36084571976
1,324,13712.56,643.0,-9165.08,262.65415740094426,330.3178469292872,332.66721148919976,14708.0,1264.0,-8068.0,13256.0,-356.0,-9664.0,188103288.96,522558.88,84109358.88,305.0,356.0,383.0,0.21149534640184015,0.8450092098218382,0.17982613724970403,16514.25618266221
1,349,13609.6,838.04,-9283.2,161.82459639992928,615.2495415682973,191.27697195428414,14404.0,2576.0,-8748.0,13256.0,-356.0,-9664.0,185247399.36,1080843.04,86214389.12,181.0,619.0,211.0,-0.08011111913688868,0.5390103760686343,-0.004654127422257921,16508.423147019243
1,374,13635.36,864.48,-9290.48,162.16507145498375,633.3078316269269,215.03546126162544,14092.0,2576.0,-8720.0,13256.0,-508.0,-9852.0,185949339.84,1148404.48,86359258.88,235.0,661.0,243.0,-0.2987346678467422,0.22613054732884746,0.09546102775810363,16535.81407314309
1,399,13616.12,519.24,-9273.88,218.22737133549495,902.3004723483191,227.39389965432233,14180.0,2576.0,-8720.0,13020.0,-1152.0,-9852.0,185446347.04,1083756.32,86056558.24,317.0,1276.0,273.0,0.04518816778144778,0.14427791410728777,0.14143536106024956,16508.92775327705
1,424,13611.12,537.64,-9274.44,232.83682183022512,961.2808280622262,243.24663697572473,14180.0,2576.0,-8720.0,13020.0,-1208.0,-9852.0,185316800.64,1213117.6,86074406.24,343.0,1353.0,320.0,-0.0187692220446575,0.23297536030734597,0.16372080246515486,16509.42692134025
1,449,13604.76,302.56,-9306.8,236.63554762545715,728.0434096947791,236.8631672506302,14180.0,1476.0,-8720.0,13020.0,-1208.0,-9852.0,185145491.04,621589.76,86672630.4,335.0,1191.0,305.0,0.055861163680783234,0.25820918220597977,0.2095236077135598,16504.477296414334
1,474,13456.4,353.8,-9466.8,297.9248227321785,791.9334062912111,299.719068462452,14180.0,2188.0,-8912.0,12672.0,-1208.0,-10240.0,181163460.16,752332.96,89710133.76,365.0,1244.0,357.0,-0.2887945079952781,0.6018929633334601,-0.2669609705582814,16479.91727032668
1,499,13339.28,418.64,-9655.12,326.49576046252116,707.3486766793307,370.6248043507072,13976.0,2188.0,-8952.0,12672.0,-1208.0,-10256.0,178042990.4,675601.6,93358704.96,535.0,1183.0,716.0,0.10017210226771503,0.8241529944894842,0.3000272631335324,16494.100686486283
1,524,13185.84,140.0,-9853.04,296.1326297455247,681.3614606066299,343.0837192289952,13840.0,2188.0,-9188.0,12672.0,-956.0,-10404.0,173954071.04,483853.44,97200103.68,484.0,1117.0,608.0,0.24893831235713895,0.843239375987483,0.40752275885690287,16480.960323447995
1,549,12994.8,-63.04,-10109.92,272.7134760146627,633.7156763091788,316.1257876225855,13580.0,2188.0,-9308.0,12352.0,-956.0,-10960.0,168939199.68,405569.6,102310417.92,301.0,452.0,340.0,-0.04460411347246323,0.8021394537647571,0.13400072369953814,16481.46510142559
1,574,12849.32,-154.52,-10320.0,298.9319949419934,451.09277271975884,346.8874168948767,13472.0,1528.0,-9680.0,12028.0,-956.0,-11232.0,165194384.8,227361.12,106622730.88,406.0,415.0,504.0,-0.42666039002830236,0.9196026090804643,-0.4974232652105869,16493.51069855903
