_id,x_mean,x_std,x_max,x_min,y_mean,y_std,y_max,y_min,z_mean,z_std,z_max,z_min,sma,x_energy,y_energy,z_energy,x_iqr,y_iqr,z_iqr,xy_corr,xz_corr,yz_corr
15,14093.322865554464,141.593488166621,15084.0,13064.0,-1838.1589793915603,319.2967503425467,-272.0,-4304.0,-8315.038272816486,212.69538228588056,-6348.0,-10676.0,16471.251592772565,198641778.4337586,3480678.798822375,69185056.40824337,138.0,352.0,196.0,0.3129366989473828,0.7427018626953659,-0.026071691059232228
16,15187.374301675978,288.7750601363524,16396.0,13548.0,-1392.9966480446928,446.4807139764914,1564.0,-3160.0,-6194.131843575419,485.07829627293637,-5004.0,-8432.0,16475.6587430607,230739636.04022345,2139561.9575418993,38602307.34301676,316.0,462.0,690.0,0.05261225567096462,0.682818520233514,-0.22644488576517063
17,15046.406722689075,3399.854465092774,27084.0,8920.0,-545.5327731092437,1597.4791573783625,4180.0,-6240.0,-6689.328851540617,1891.9606410399972,-2764.0,-16268.0,16605.90424012216,237946890.01232493,2848116.006722689,48324630.22072829,5048.0,2468.0,2776.0,-0.04594752100456682,-0.5980553889786487,0.03431864618348873
19,11686.384105960266,388.5298729459338,12736.0,10696.0,833.8126773888363,164.70413933284743,1548.0,408.0,-11611.069063386944,383.6446972766135,-10468.0,-12612.0,16504.31681574074,136722386.1192053,722345.3699148534,134963968.8022706,732.0,212.0,712.0,0.055514692823712165,0.8907013977922451,0.06808521036169835
20,14307.614849187936,1011.0344699058971,17060.0,6936.0,1550.8631090487238,714.8589375780051,5028.0,-3292.0,-7949.062645011601,1237.3403432325733,-6084.0,-17600.0,16524.88605167946,205728847.53596288,2915606.8491879352,64716831.944315545,148.0,320.0,239.0,-0.1663631194646188,0.8293275238853655,-0.373077755215255
21,13891.260825780464,2469.622893625972,30348.0,9740.0,-231.43001007049347,1909.3701308573652,5540.0,-5772.0,-8757.39577039275,1630.6887832356347,-5356.0,-16912.0,16587.664052998174,199063093.550856,3697418.449144008,79349787.64149043,2606.0,3155.0,1823.0,-0.061139200984457104,-0.4789533220654924,-0.022013908990126296
22,14809.31803696622,93.58029640215776,15536.0,14068.0,1523.0006373486297,103.46941096138278,1952.0,1140.0,-7148.038240917782,173.72793815585084,-6296.0,-7608.0,16515.95331665094,219324652.4104525,2330230.0369662205,51124612.854047164,136.0,136.0,244.0,-0.30162661996887363,0.7769092651791982,-0.19030791687732093
23,16079.708520179372,148.94093849458804,17004.0,15224.0,1951.0313901345291,277.57221307116015,3028.0,1028.0,-3252.067264573991,469.84072565006323,-2012.0,-4460.0,16530.249256577907,258579184.6278027,3883483.4439461883,10796444.322869955,184.0,305.0,513.0,-0.36360680750675856,0.6885868526617397,-0.23622673370833908
24,14870.49416755037,2557.0443327393823,28792.0,11012.0,1773.1283138918345,1774.7930659736473,7544.0,-2740.0,-6862.305408271474,1249.2585862941357,-1012.0,-12280.0,16608.296765508374,227666605.65853658,6292204.30116649,48651055.04135737,2929.0,2946.0,1710.0,0.019242532373694204,-0.4251783962087692,-0.07875836200046749
25,10166.128676470587,158.40097358202553,10908.0,9232.0,1768.1470588235295,229.16474967507833,2708.0,824.0,-12918.551470588236,140.87686075661784,-12400.0,-13864.0,16536.467366702884,103375240.0735294,3178812.2352941176,166908800.1470588,169.0,284.0,160.0,0.15307682866913205,0.6472285882314772,0.18656155289667076
26,12589.840112201964,364.76740659883745,13592.0,11132.0,374.6311360448808,314.6745955869918,1984.0,-944.0,-10658.496493688639,404.3557579539299,-9940.0,-12008.0,16511.632498801533,158636942.6984572,239229.7110799439,113766821.76718092,348.0,252.0,388.0,0.10195204352185566,0.9382983860610214,0.13672274026169212
27,12980.31686859273,2282.3024117358073,25140.0,8320.0,545.5097856477166,1262.3480523474905,5108.0,-2544.0,-10114.920782851817,1517.4642491893737,-6748.0,-15844.0,16551.174490805963,173695103.04566637,1890360.9767008387,104613247.1724138,2048.0,2120.0,2315.0,-0.1281359703946937,-0.5798831825523186,-0.03927388695685475
28,14420.20669406929,149.3679422243225,15604.0,12876.0,233.74985320023487,233.20282805196746,1044.0,-552.0,-8032.561362301821,227.91342819296437,-5860.0,-8692.0,16511.863141496513,207964658.78097475,108990.61890780975,64573956.06811509,172.0,268.0,268.0,0.026446935959665553,0.8054821098403534,0.03076716703036179
29,15616.840496657116,112.17180026761767,15992.0,15288.0,139.93123209169053,154.97983292200965,620.0,-328.0,-5356.416427889208,286.88198257945754,-4384.0,-5876.0,16514.00556584521,243898277.5931232,43576.557784145174,28773419.614135627,132.0,216.0,296.0,-0.3698584374878634,0.8624665244854236,-0.4304248173360879
30,14961.378217821783,3077.4820119617734,27492.0,9968.0,-242.780198019802,1431.9533534105415,4964.0,-4300.0,-7029.7089108910895,1576.7486682954805,-3732.0,-12992.0,16646.27822159201,233309045.14851484,2108417.5366336633,51901712.974257424,3017.0,2245.0,2315.0,-0.03355831139002865,-0.42686889339270445,0.09230091938812576
31,12623.527777777777,2511.2472045282934,17972.0,2672.0,-1611.1979166666667,435.5624691486202,728.0,-4028.0,-9478.829861111111,4147.4757209025265,0.0,-19308.0,16591.35724573411,165654341.80555555,2785508.7083333335,107034838.4861111,4041.0,397.0,5099.0,-0.23728416422356388,0.9123346394284437,-0.2044774075309073
32,16341.840924541128,199.75951319814004,17224.0,14352.0,-720.5547246770905,273.0110402998775,852.0,-2332.0,-2312.747790618627,862.2593298964149,-28.0,-5772.0,16545.921881298007,267095641.53908905,593683.4697484705,6091788.062542488,216.0,336.0,1308.0,0.24177224293960917,0.7793695907433197,0.29170546926397006
33,16086.297182349814,4071.5616307789605,32767.0,4912.0,-1124.4572036150983,2154.186235109334,6840.0,-10944.0,-3597.2674109516215,3246.9979551078586,0.0,-19604.0,16956.19471559743,275337757.9601276,5902455.289739501,23477723.5513025,4360.0,2988.0,3964.0,-0.15106675353992444,-0.10131795250008915,0.10560723453377063
