data_id,_id,x,y,z
1,1,9728,-732,-13036
2,1,9608,-556,-13348
3,1,9608,-556,-13348
4,1,9720,-608,-13500
5,1,9720,-608,-13500
6,1,9496,-580,-13340
7,1,9496,-580,-13340
8,1,9496,-580,-13340
9,1,9564,-592,-13436
10,1,9564,-592,-13436
11,1,9564,-592,-13436
12,1,9708,-688,-13456
13,1,9708,-688,-13456
14,1,9708,-688,-13456
15,1,9708,-628,-13356
16,1,9808,-532,-13356
17,1,9808,-532,-13356
18,1,9856,-316,-13404
19,1,9856,-316,-13404
20,1,9840,-416,-13352
21,1,9840,-416,-13352
22,1,9216,-248,-13344
23,1,9216,-248,-13344
24,1,9216,-248,-13344
25,1,9216,-248,-13344
26,1,9384,-308,-13212
27,1,9384,-308,-13212
28,1,10008,-448,-13208
29,1,10244,-480,-13212
30,1,10236,-440,-13044
31,1,10116,-304,-12904
32,1,10116,-304,-12904
33,1,10228,-340,-13048
34,1,10228,-340,-13048
35,1,10228,-340,-13048
36,1,9980,-444,-12976
37,1,10208,-292,-13040
38,1,10208,-292,-13040
39,1,10208,-292,-13040
40,1,10208,-292,-13040
41,1,10024,-452,-13012
42,1,10024,-452,-13012
43,1,10024,-452,-13012
44,1,10024,-452,-13012
45,1,10024,-452,-13012
46,1,10024,-452,-13012
47,1,10024,-452,-13012
48,1,10224,-440,-13100
49,1,10208,-420,-12984
50,1,10208,-420,-12984
51,1,10208,-420,-12984
52,1,10312,-384,-12964
53,1,10312,-384,-12964
54,1,10312,-384,-12964
55,1,10312,-384,-12964
56,1,10312,-384,-12964
57,1,10232,-380,-12992
58,1,10228,-576,-12968
59,1,10228,-576,-12968
60,1,10228,-576,-12968
61,1,10096,-432,-13028
62,1,10096,-432,-13028
63,1,10208,-344,-13008
64,1,10200,-448,-13000
65,1,10300,-464,-13068
66,1,10300,-464,-13068
67,1,10332,-380,-12884
68,1,10332,-380,-12884
69,1,10216,-428,-12940
70,1,10216,-428,-12940
71,1,10184,-396,-13016
