_id,height,mass,position,is_valid,age,sex
1,180,67,1,0,21,1
2,180,67,2,0,21,1
3,180,67,3,0,21,1
4,180,67,3,0,21,1
5,180,67,3,0,21,1
6,180,67,1,1,21,1
7,180,67,2,1,21,1
8,180,67,3,1,21,1
9,175,63,1,0,21,1
10,175,63,1,0,21,1
11,175,63,2,0,21,1
12,175,63,3,0,21,1
13,175,63,1,1,21,1
14,175,63,2,1,21,1
15,175,63,3,1,21,1
16,161,53,1,0,19,0
17,161,53,2,0,19,0
18,161,53,3,0,19,0
19,161,53,1,1,19,0
20,161,53,2,1,19,0
21,161,53,3,1,19,0
