_id,height,mass,position,is_valid,age,sex
1,180,70,1,1,16,1
2,180,70,1,0,16,1
3,180,70,2,1,16,1
4,180,70,2,0,16,1
5,180,70,3,1,16,1
6,180,70,3,0,16,1
7,180,75,1,1,19,1
8,180,75,1,0,19,1
9,180,75,2,1,19,1
10,180,75,2,0,19,1
11,180,75,3,1,19,1
12,180,75,3,0,19,1
13,176,74,1,1,48,1
14,176,74,1,0,48,1
15,176,74,2,1,48,1
16,176,74,2,0,48,1
17,176,74,3,1,48,1
18,176,74,3,0,48,1
